Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
6150.0	6200.0	750	300	2
6200.0	6250.0	750	300	2
6250.0	6300.0	750	300	2
6300.0	6350.0	750	300	2
6350.0	6400.0	750	300	2
6400.0	6450.0	750	300	2
6450.0	6500.0	750	300	2
6500.0	6550.0	750	300	2
6550.0	6600.0	750	300	2
6600.0	6650.0	750	300	2
6650.0	6700.0	750	100	1
6700.0	6750.0	750	400	4
6750.0	6800.0	750	400	4
6800.0	6850.0	750	400	4
6850.0	6900.0	750	400	4
6900.0	6950.0	750	400	4
6950.0	7000.0	750	400	4
7000.0	7050.0	750	400	4
7050.0	7100.0	750	400	4
7100.0	7150.0	750	400	4
7150.0	7200.0	750	400	4
7200.0	7250.0	750	400	4
7250.0	7300.0	750	400	4
7300.0	7350.0	750	400	4
7350.0	7400.0	750	400	4
7400.0	7450.0	750	400	4
7450.0	7500.0	750	400	4
7500.0	7550.0	750	400	4
7550.0	7600.0	750	400	4
7600.0	7650.0	750	400	4
7650.0	7700.0	750	400	4
7700.0	7750.0	750	400	4
7750.0	7800.0	750	400	4
7800.0	7850.0	750	400	4
7850.0	7900.0	750	400	4
7900.0	7950.0	750	400	4
7950.0	8000.0	750	400	4
8000.0	8050.000000000001	750	100	2
8050.000000000001	8100.0	750	100	2
8100.0	8150.0	750	100	2
8150.0	8200.0	750	100	2
8200.0	8250.0	750	100	2
8250.0	8300.0	750	100	2
8300.0	8350.0	750	400	4
8350.0	8400.0	750	400	4
8400.0	8450.0	750	400	4
8450.0	8500.0	750	400	4
8500.0	8550.0	750	400	4
8550.0	8600.0	750	400	4
8600.0	8650.0	750	400	4
8650.0	8700.0	750	400	4
8700.0	8750.0	750	400	4
8750.0	8800.0	750	400	4
8800.0	8850.0	750	400	4
8850.0	8900.0	750	400	4
8900.0	8950.0	750	400	4
8950.0	9000.0	750	400	4
9000.0	9050.0	750	400	4
9050.0	9100.0	750	400	4
9100.0	9150.0	750	400	4
9150.0	9200.0	750	400	4
9200.0	9250.0	750	400	4
9250.0	9300.0	750	400	4
9300.0	9350.0	750	400	4
9350.0	9400.0	750	400	4
9400.0	9450.0	750	400	4
9450.0	9500.0	750	400	4
9500.0	9550.0	750	400	4
9550.0	9600.0	750	400	4
9600.0	9650.0	750	400	4
9650.0	9700.0	750	400	4
9700.0	9750.0	750	400	4
9750.0	9800.0	750	400	4
9800.0	9850.0	750	400	4
